[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],[US 1120 Balance Sheet_Name],[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
29,DET.VALOR ACT.NO CORRIENTES,DET.VALOR ACT.NO CORRIENTES,Asset,,,Yes,,2,,,,,,,,,,
30,COMERCIALES,COMERCIALES,Asset,,,Yes,,3,,,,,,,,,,
31,MATERIAS PRIMAS A,MATERIAS PRIMAS A,Asset,,,Yes,,3,,,,,,,,,,
32,OTROS APROVISIONAMIENTOS,OTROS APROVISIONAMIENTOS,Asset,,,Yes,,3,,,,,,,,,,
33,PRODUCTOS EN CURSO,PRODUCTOS EN CURSO,Asset,,,Yes,,3,,,,,,,,,,
34,PRODUCTOS SEMITERMINADOS,PRODUCTOS SEMITERMINADOS,Asset,,,Yes,,3,,,,,,,,,,
35,PRODUCTOS TERMINADOS,PRODUCTOS TERMINADOS,Asset,,,Yes,,3,,,,,,,,,,
36,SUBPRODUCTOS/RESID/MAT.RECUP.,SUBPRODUCTOS/RESID/MAT.RECUP.,Asset,,,Yes,,3,,,,,,,,,,
39,DETERIORO VALOR EXISTENCIAS,DETERIORO VALOR EXISTENCIAS,Asset,,,Yes,,3,,,,,,,,,,
40,PROVEEDORES,PROVEEDORES,Liability,,,Yes,,4,,,,,,,,,,
41,ACREEDORES VARIOS,ACREEDORES VARIOS,Liability,,,Yes,,4,,,,,,,,,,
43,CLIENTES,CLIENTES,Asset,,,Yes,,4,,,,,,,,,,
44,DEUDORES,DEUDORES,Asset,,,Yes,,4,,,,,,,,,,
46,PERSONAL,PERSONAL,Asset,,,Yes,,4,,,,,,,,,,
47,ADMINISTRACIONES PUBLICAS,ADMINISTRACIONES PUBLICAS,Liability,,,Yes,,4,,,,,,,,,,
48,AJUSTES POR PERIODIFICACION,AJUSTES POR PERIODIFICACION,Asset,,,Yes,,4,,,,,,,,,,
49,DET.VALOR CDTOS COM.Y PROV.CP,DET.VALOR CDTOS COM.Y PROV.CP,Asset,,,Yes,,4,,,,,,,,,,
50,EMPREST.DEUD.ESP.Y OT.EMIS.CP,EMPREST.DEUD.ESP.Y OT.EMIS.CP,Liability,,,Yes,,5,,,,,,,,,,
51,DEUDAS CP PARTES VINCULADAS,DEUDAS CP PARTES VINCULADAS,Liability,,,Yes,,5,,,,,,,,,,
52,DEUD.CP PREST.RECIB/OT.CONCP.,DEUD.CP PREST.RECIB/OT.CONCP.,Liability,,,Yes,,5,,,,,,,,,,
53,INV.FINANC.CP EN PART.VINC.,INV.FINANC.CP EN PART.VINC.,Asset,,,Yes,,5,,,,,,,,,,
54,OTRAS INVERS.FINANC.TEMP.,OTRAS INVERS.FINANC.TEMP.,Asset,,,Yes,,5,,,,,,,,,,
55,OTRAS CUENTAS NO BANCARIAS,OTRAS CUENTAS NO BANCARIAS,Liability,,,Yes,,5,,,,,,,,,,
56,FIANZ/DEP/RECIB/CONST/AJ.PER.,FIANZ/DEP/RECIB/CONST/AJ.PER.,Liability,,,Yes,,5,,,,,,,,,,
57,TESORERIA,TESORERIA,Asset,,,Yes,,5,,,,,,,,,,
60,COMPRAS,COMPRAS,Expense,,,Yes,,6,,,,,,,,,,
61,VARIACION DE EXISTENCIAS,VARIACION DE EXISTENCIAS,Expense,,,Yes,,6,,,,,,,,,,
62,SERVICIOS EXTERIORES,SERVICIOS EXTERIORES,Expense,,,Yes,,6,,,,,,,,,,
63,TRIBUTOS,TRIBUTOS,Expense,,,Yes,,6,,,,,,,,,,
64,GASTOS DE PERSONAL,GASTOS DE PERSONAL,Expense,,,Yes,,6,,,,,,,,,,
65,OTROS GASTOS DE GESTION,OTROS GASTOS DE GESTION,Expense,,,Yes,,6,,,,,,,,,,
66,GASTOS FINANCIEROS,GASTOS FINANCIEROS,Expense,,,Yes,,6,,,,,,,,,,
67,PERD.ACTIV.NO CTES/GTOS EXCEP.,PERD.ACTIV.NO CTES/GTOS EXCEP.,Expense,,,Yes,,6,,,,,,,,,,
68,DOTACIONES AMORTIZACIONES,DOTACIONES AMORTIZACIONES,Expense,,,Yes,,6,,,,,,,,,,
69,PERD.DETERIORO Y OTRAS DOTAC.,PERD.DETERIORO Y OTRAS DOTAC.,Expense,,,Yes,,6,,,,,,,,,,
70,VTAS MERCAD.PROD.PROP.SERV...,VTAS MERCAD.PROD.PROP.SERV...,Revenue,,,Yes,,7,,,,,,,,,,
71,VARIACION DE EXISTENCIAS,VARIACION DE EXISTENCIAS,Revenue,,,Yes,,7,,,,,,,,,,
73,TRABAJOS REALIZ.PARA EMPRESA,TRABAJOS REALIZ.PARA EMPRESA,Revenue,,,Yes,,7,,,,,,,,,,
74,SUBVENC.DONAC.Y LEGADOS,SUBVENC.DONAC.Y LEGADOS,Revenue,,,Yes,,7,,,,,,,,,,
75,OTROS INGRESOS DE GESTION,OTROS INGRESOS DE GESTION,Revenue,,,Yes,,7,,,,,,,,,,
76,INGRESOS FINANCIEROS,INGRESOS FINANCIEROS,Revenue,,,Yes,,7,,,,,,,,,,
77,BENEF.ACT.NO.CORR.E ING.EXC.,BENEF.ACT.NO.CORR.E ING.EXC.,Revenue,,,Yes,,7,,,,,,,,,,
79,EXCESO/APLIC.PROVIS./PER.DET.,EXCESO/APLIC.PROVIS./PER.DET.,Revenue,,,Yes,,7,,,,,,,,,,
100,CAPITAL SOCIAL,CAPITAL SOCIAL,Owner's Equity,,,Yes,,10,,,,,,,,,,
101,FONDO SOCIAL,FONDO SOCIAL,Owner's Equity,,,Yes,,10,,,,,,,,,,
102,CAPITAL,CAPITAL,Owner's Equity,,,Yes,,10,,,,,,,,,,
103,SOCIOS DESEMBOLSOS NO EXIG.,SOCIOS DESEMBOLSOS NO EXIG.,Owner's Equity,,,Yes,,10,,,,,,,,,,
104,SOCIOS APORT.NO DIN.PDTES,SOCIOS APORT.NO DIN.PDTES,Owner's Equity,,,Yes,,10,,,,,,,,,,
108,ACC.O PART.PROPIAS SIT.ESPEC.,ACC.O PART.PROPIAS SIT.ESPEC.,Owner's Equity,,,Yes,,10,,,,,,,,,,
109,ACC.O PART.PROPIAS REDUC.K,ACC.O PART.PROPIAS REDUC.K,Owner's Equity,,,Yes,,10,,,,,,,,,,
110,PRIMA DE EMISION O ASUNCION,PRIMA DE EMISION O ASUNCION,Owner's Equity,,,Yes,,11,,,,,,,,,,
111,OTROS INSTRUM.PATRIMONIO NETO,OTROS INSTRUM.PATRIMONIO NETO,Owner's Equity,,,Yes,,11,,,,,,,,,,
112,RESERVA LEGAL,RESERVA LEGAL,Owner's Equity,,,Yes,,11,,,,,,,,,,
113,RESERVAS VOLUNTARIAS,RESERVAS VOLUNTARIAS,Owner's Equity,,,Yes,,11,,,,,,,,,,
114,RESERVAS ESPECIALES,RESERVAS ESPECIALES,Owner's Equity,,,Yes,,11,,,,,,,,,,
118,APORT.SOCIOS O PROPIETARIOS,APORT.SOCIOS O PROPIETARIOS,Owner's Equity,,,Yes,,11,,,,,,,,,,
119,DIF.POR AJUSTE DEL K A EUROS,DIF.POR AJUSTE DEL K A EUROS,Owner's Equity,,,Yes,,11,,,,,,,,,,
120,REMANENTE,REMANENTE,Owner's Equity,,,Yes,,12,,,,,,,,,,
121,RTDOS NEGAT.EJERC.ANTERIORES,RTDOS NEGAT.EJERC.ANTERIORES,Owner's Equity,,,Yes,,12,,,,,,,,,,
129,RESULTADO DEL EJERCICIO,RESULTADO DEL EJERCICIO,Owner's Equity,,,Yes,,12,,,,,,,,,,
130,SUBVENCIONES OFICIALES DE,SUBVENCIONES OFICIALES DE,Owner's Equity,,,Yes,,13,,,,,,,,,,
131,DONACIONES Y LEGADOS DE,DONACIONES Y LEGADOS DE,Owner's Equity,,,Yes,,13,,,,,,,,,,
132,OTRAS SUBV.DONAC.Y LEGADOS,OTRAS SUBV.DONAC.Y LEGADOS,Owner's Equity,,,Yes,,13,,,,,,,,,,
137,ING.FISC.DISTR.VARIOS EJERC.,ING.FISC.DISTR.VARIOS EJERC.,Owner's Equity,,,Yes,,13,,,,,,,,,,
141,PROVISION PARA IMPUESTOS,PROVISION PARA IMPUESTOS,Liability,,,Yes,,14,,,,,,,,,,
142,PROV.PARA OTRAS RESPONSAB.,PROV.PARA OTRAS RESPONSAB.,Liability,,,Yes,,14,,,,,,,,,,
143,PROV.DESMT.RETIRO/REHB.INMOV.,PROV.DESMT.RETIRO/REHB.INMOV.,Liability,,,Yes,,14,,,,,,,,,,
145,PROV.ACT.MEDIOAMBIENTALES,PROV.ACT.MEDIOAMBIENTALES,Liability,,,Yes,,14,,,,,,,,,,
150,ACC/PART.LP CONSID.PASIVO FIN.,ACC/PART.LP CONSID.PASIVO FIN.,Liability,,,Yes,,15,,,,,,,,,,
153,DESEMB.NO EXIG.AC/P.CONS.PAS.,DESEMB.NO EXIG.AC/P.CONS.PAS.,Liability,,,Yes,,15,,,,,,,,,,
154,AP.NO.DIN.PDT AC/P.CONS.PAS.,AP.NO.DIN.PDT AC/P.CONS.PAS.,Liability,,,Yes,,15,,,,,,,,,,
160,DEUDAS LP ENT.CREDITO VINC.,DEUDAS LP ENT.CREDITO VINC.,Liability,,,Yes,,16,,,,,,,,,,
161,PROV.INMOV.LP. PARTES VINC.,PROV.INMOV.LP. PARTES VINC.,Liability,,,Yes,,16,,,,,,,,,,
162,ACR.ARREND.FINANC.LP.P.VINC,ACR.ARREND.FINANC.LP.P.VINC,Liability,,,Yes,,16,,,,,,,,,,
163,OTRAS DEUDAS LP PARTES VINC.,OTRAS DEUDAS LP PARTES VINC.,Liability,,,Yes,,16,,,,,,,,,,
164,EFECTOS A PAGAR LP.PART.VINC.,EFECTOS A PAGAR LP.PART.VINC.,Liability,,,Yes,,16,,,,,,,,,,
165,PASIVOS DERIV.FIN.LP.P.VINC,PASIVOS DERIV.FIN.LP.P.VINC,Liability,,,Yes,,16,,,,,,,,,,
166,OBLIGAC. Y BONOS.PARTES VINC.,OBLIGAC. Y BONOS.PARTES VINC.,Liability,,,Yes,,16,,,,,,,,,,
168,DEUD.REPR.OTR.VAL.NEG.PART.V,DEUD.REPR.OTR.VAL.NEG.PART.V,Liability,,,Yes,,16,,,,,,,,,,
169,PASIV.FIANZ.GAR.O.CONC.LP.P.V.,PASIV.FIANZ.GAR.O.CONC.LP.P.V.,Liability,,,Yes,,16,,,,,,,,,,
170,DEUDAS LP ENTID.DE CREDITO,DEUDAS LP ENTID.DE CREDITO,Liability,,,Yes,,17,,,,,,,,,,
171,DEUDAS A LARGO PLAZO,DEUDAS A LARGO PLAZO,Liability,,,Yes,,17,,,,,,,,,,
172,DEUDAS LP TRANSF.EN SUBV.,DEUDAS LP TRANSF.EN SUBV.,Liability,,,Yes,,17,,,,,,,,,,
173,PROVEEDORES INMOVILIZADO LP,PROVEEDORES INMOVILIZADO LP,Liability,,,Yes,,17,,,,,,,,,,
174,ACREED.ARRENDAM.FINANC. L.P.,ACREED.ARRENDAM.FINANC. L.P.,Liability,,,Yes,,17,,,,,,,,,,
175,EFECTOS A PAGAR A LARGO PLAZO,EFECTOS A PAGAR A LARGO PLAZO,Liability,,,Yes,,17,,,,,,,,,,
176,PASIVOS DERIVADOS FINANC.LP,PASIVOS DERIVADOS FINANC.LP,Liability,,,Yes,,17,,,,,,,,,,
177,OBLIGACIONES Y BONOS,OBLIGACIONES Y BONOS,Liability,,,Yes,,17,,,,,,,,,,
179,DEUDAS REPR.OTROS VAL.NEGOC.,DEUDAS REPR.OTROS VAL.NEGOC.,Liability,,,Yes,,17,,,,,,,,,,
180,FIANZAS RECIBIDAS A LP,FIANZAS RECIBIDAS A LP,Liability,,,Yes,,18,,,,,,,,,,
181,ANTIC.REC.VTAS PREST.SERV.LP,ANTIC.REC.VTAS PREST.SERV.LP,Liability,,,Yes,,18,,,,,,,,,,
185,DEPOSITOS RECIBIDOS A LP,DEPOSITOS RECIBIDOS A LP,Liability,,,Yes,,18,,,,,,,,,,
190,ACCIONES O PART.EMITIDAS,ACCIONES O PART.EMITIDAS,Liability,,,Yes,,19,,,,,,,,,,
192,SUSCRIPTORES DE ACCIONES,SUSCRIPTORES DE ACCIONES,Liability,,,Yes,,19,,,,,,,,,,
194,CAPITAL EMITIDO PDTE INSCRIP.,CAPITAL EMITIDO PDTE INSCRIP.,Liability,,,Yes,,19,,,,,,,,,,
195,ACC.PARTIC.EMIT.CONS.PAS.FIN.,ACC.PARTIC.EMIT.CONS.PAS.FIN.,Liability,,,Yes,,19,,,,,,,,,,
197,SUSCRIPTORES ACC.CONS.PAS.FIN.,SUSCRIPTORES ACC.CONS.PAS.FIN.,Liability,,,Yes,,19,,,,,,,,,,
199,ACC.PART.EM.CONS.PAS.FIN.P.I.,ACC.PART.EM.CONS.PAS.FIN.P.I.,Liability,,,Yes,,19,,,,,,,,,,
200,INVESTIGACION,INVESTIGACION,Asset,,,Yes,,20,,,,,,,,,,
201,DESARROLLO,DESARROLLO,Asset,,,Yes,,20,,,,,,,,,,
202,CONCESIONES ADMINISTRATIVAS,CONCESIONES ADMINISTRATIVAS,Asset,,,Yes,,20,,,,,,,,,,
203,PROPIEDAD INDUSTRIAL,PROPIEDAD INDUSTRIAL,Asset,,,Yes,,20,,,,,,,,,,
204,FONDO DE COMERCIO,FONDO DE COMERCIO,Asset,,,Yes,,20,,,,,,,,,,
205,DERECHOS DE TRASPASO,DERECHOS DE TRASPASO,Asset,,,Yes,,20,,,,,,,,,,
206,APLICACIONES INFORMATICAS,APLICACIONES INFORMATICAS,Asset,,,Yes,,20,,,,,,,,,,
207,OTRO INMOVILIZADO INTANGIBLE,OTRO INMOVILIZADO INTANGIBLE,Asset,,,Yes,,20,,,,,,,,,,
209,ANTICIPOS INMOV.INTANGIBLES,ANTICIPOS INMOV.INTANGIBLES,Asset,,,Yes,,20,,,,,,,,,,
210,TERRENOS Y BIENES NATURALES,TERRENOS Y BIENES NATURALES,Asset,,,Yes,,21,,,,,,,,,,
211,CONSTRUCCIONES,CONSTRUCCIONES,Asset,,,Yes,,21,,,,,,,,,,
212,INSTALACIONES TECNICAS,INSTALACIONES TECNICAS,Asset,,,Yes,,21,,,,,,,,,,
213,MAQUINARIA,MAQUINARIA,Asset,,,Yes,,21,,,,,,,,,,
214,UTILLAJE,UTILLAJE,Asset,,,Yes,,21,,,,,,,,,,
215,OTRAS INSTALACIONES,OTRAS INSTALACIONES,Asset,,,Yes,,21,,,,,,,,,,
216,MOBILIARIO,MOBILIARIO,Asset,,,Yes,,21,,,,,,,,,,
217,EQUIP.PROC.DE INFORMACION,EQUIP.PROC.DE INFORMACION,Asset,,,Yes,,21,,,,,,,,,,
218,ELEMENTOS DE TRANSPORTE,ELEMENTOS DE TRANSPORTE,Asset,,,Yes,,21,,,,,,,,,,
219,OTRO INMOVILIZADO MATERIAL,OTRO INMOVILIZADO MATERIAL,Asset,,,Yes,,21,,,,,,,,,,
220,INV.TERRENOS/BIENES NATURALES,INV.TERRENOS/BIENES NATURALES,Asset,,,Yes,,22,,,,,,,,,,
221,INV.CONSTRUCCIONES,INV.CONSTRUCCIONES,Asset,,,Yes,,22,,,,,,,,,,
230,ADAPT.TERRENOS/BIENES NAT.,ADAPT.TERRENOS/BIENES NAT.,Asset,,,Yes,,23,,,,,,,,,,
231,CONSTRUCCIONES EN CURSO,CONSTRUCCIONES EN CURSO,Asset,,,Yes,,23,,,,,,,,,,
232,INSTALAC.TECNICAS EN MONTAJE,INSTALAC.TECNICAS EN MONTAJE,Asset,,,Yes,,23,,,,,,,,,,
233,MAQUINARIA EN MONTAJE,MAQUINARIA EN MONTAJE,Asset,,,Yes,,23,,,,,,,,,,
237,EQUIP.PROC.DE INF.EN MONTAJE,EQUIP.PROC.DE INF.EN MONTAJE,Asset,,,Yes,,23,,,,,,,,,,
239,ANTICIPOS PARA INMOV.MAT.,ANTICIPOS PARA INMOV.MAT.,Asset,,,Yes,,23,,,,,,,,,,
240,PARTICIP.LP PARTES VINCULADAS,PARTICIP.LP PARTES VINCULADAS,Asset,,,Yes,,24,,,,,,,,,,
241,VAL.REPR.DEUDA LP PART.VINC.,VAL.REPR.DEUDA LP PART.VINC.,Asset,,,Yes,,24,,,,,,,,,,
242,CREDITOS A LP A PARTES VINC.,CREDITOS A LP A PARTES VINC.,Asset,,,Yes,,24,,,,,,,,,,
244,FIANZAS CONSTIT. LP.PART.VINC,FIANZAS CONSTIT. LP.PART.VINC,Asset,,,Yes,,24,,,,,,,,,,
245,DEPOSITOS CONSTIT. LP.PART.V.,DEPOSITOS CONSTIT. LP.PART.V.,Asset,,,Yes,,24,,,,,,,,,,
249,DESEMB.PDTE S/PART.LP P.VINC.,DESEMB.PDTE S/PART.LP P.VINC.,Asset,,,Yes,,24,,,,,,,,,,
250,INV.FIN.LP INSTRUM.PATRIM.,INV.FIN.LP INSTRUM.PATRIM.,Asset,,,Yes,,25,,,,,,,,,,
251,VALORES REPR.DE DEUDA A LP,VALORES REPR.DE DEUDA A LP,Asset,,,Yes,,25,,,,,,,,,,
252,CREDITOS A LARGO PLAZO,CREDITOS A LARGO PLAZO,Asset,,,Yes,,25,,,,,,,,,,
253,CRDTOS LP ENAJENACION INMOV.,CRDTOS LP ENAJENACION INMOV.,Asset,,,Yes,,25,,,,,,,,,,
254,CREDITOS LP AL PERSONAL,CREDITOS LP AL PERSONAL,Asset,,,Yes,,25,,,,,,,,,,
255,ACT.POR DERIV.FINANCIEROS LP,ACT.POR DERIV.FINANCIEROS LP,Asset,,,Yes,,25,,,,,,,,,,
258,IMPOSICIONES A LARGO PLAZO,IMPOSICIONES A LARGO PLAZO,Asset,,,Yes,,25,,,,,,,,,,
259,DESEMB.PDT.INSTRUM.PATR.LP,DESEMB.PDT.INSTRUM.PATR.LP,Asset,,,Yes,,25,,,,,,,,,,
260,FIANZAS CONSTITUIDAS (LARGO),FIANZAS CONSTITUIDAS (LARGO),Asset,,,Yes,,26,,,,,,,,,,
265,DEPOSITOS CONSTITUIDOS(LARGO),DEPOSITOS CONSTITUIDOS(LARGO),Asset,,,Yes,,26,,,,,,,,,,
280,AMORT.ACUM.DEL INMOV.INTANG.,AMORT.ACUM.DEL INMOV.INTANG.,Asset,,,Yes,,28,,,,,,,,,,
281,AMORT.ACUM.DEL INMOV.MATERIAL,AMORT.ACUM.DEL INMOV.MATERIAL,Asset,,,Yes,,28,,,,,,,,,,
282,AMORTIZ.ACUM.DE INV.INMOB.,AMORTIZ.ACUM.DE INV.INMOB.,Asset,,,Yes,,28,,,,,,,,,,
290,DET.VALOR DEL INMOV.INTANG.,DET.VALOR DEL INMOV.INTANG.,Asset,,,Yes,,29,,,,,,,,,,
291,DET.DE VALOR DEL INMOV.MAT.,DET.DE VALOR DEL INMOV.MAT.,Asset,,,Yes,,29,,,,,,,,,,
292,DET.VALOR INV.INMOBILIARIAS,DET.VALOR INV.INMOBILIARIAS,Asset,,,Yes,,29,,,,,,,,,,
293,DET.VALOR PART.LP PART.VINC.,DET.VALOR PART.LP PART.VINC.,Asset,,,Yes,,29,,,,,,,,,,
294,DET.VAL.REPR.DEUD.LP P.VINC.,DET.VAL.REPR.DEUD.LP P.VINC.,Asset,,,Yes,,29,,,,,,,,,,
295,DET.VALOR CDTOS LP PART.VINC.,DET.VALOR CDTOS LP PART.VINC.,Asset,,,Yes,,29,,,,,,,,,,
296,DET.VALOR PART.P.NETO LP,DET.VALOR PART.P.NETO LP,Asset,,,Yes,,29,,,,,,,,,,
297,DET.VALOR VAL.REPR.DEUDA LP,DET.VALOR VAL.REPR.DEUDA LP,Asset,,,Yes,,29,,,,,,,,,,
298,DET.VALOR DE CREDITOS A LP,DET.VALOR DE CREDITOS A LP,Asset,,,Yes,,29,,,,,,,,,,
300,MERCADERIAS,MERCADERIAS,Asset,,,Yes,,30,,,,,,,,,,
301,MERCADERIAS,MERCADERIAS,Asset,,,Yes,,30,,,,,,,,,,
310,MATERIAS PRIMAS,MATERIAS PRIMAS,Asset,,,Yes,,31,,,,,,,,,,
311,MATERIAS PRIMAS A,MATERIAS PRIMAS A,Asset,,,Yes,,31,,,,,,,,,,
320,ELEMENTOS Y CONJ.INCORPORAB.,ELEMENTOS Y CONJ.INCORPORAB.,Asset,,,Yes,,32,,,,,,,,,,
321,COMBUSTIBLES,COMBUSTIBLES,Asset,,,Yes,,32,,,,,,,,,,
322,REPUESTOS,REPUESTOS,Asset,,,Yes,,32,,,,,,,,,,
325,MATERIALES DIVERSOS,MATERIALES DIVERSOS,Asset,,,Yes,,32,,,,,,,,,,
326,EMBALAJES,EMBALAJES,Asset,,,Yes,,32,,,,,,,,,,
327,ENVASES,ENVASES,Asset,,,Yes,,32,,,,,,,,,,
328,MATERIAL DE OFICINA,MATERIAL DE OFICINA,Asset,,,Yes,,32,,,,,,,,,,
329,OTROS APROVISIONAMIENTOS,OTROS APROVISIONAMIENTOS,Asset,,,Yes,,32,,,,,,,,,,
330,PRODUCTOS EN CURSO,PRODUCTOS EN CURSO,Asset,,,Yes,,33,,,,,,,,,,
331,PRODUCTOS EN CURSO,PRODUCTOS EN CURSO,Asset,,,Yes,,33,,,,,,,,,,
340,PRODUCTOS SEMITERMINADOS,PRODUCTOS SEMITERMINADOS,Asset,,,Yes,,34,,,,,,,,,,
341,PRODUCTOS SEMITERMINADOS B,PRODUCTOS SEMITERMINADOS B,Asset,,,Yes,,34,,,,,,,,,,
350,PRODUCTOS TERMINADOS,PRODUCTOS TERMINADOS,Asset,,,Yes,,35,,,,,,,,,,
351,PRODUCTOS TERMINADOS,PRODUCTOS TERMINADOS,Asset,,,Yes,,35,,,,,,,,,,
360,SUBPRODUCTOS,SUBPRODUCTOS,Asset,,,Yes,,36,,,,,,,,,,
361,SUBPRODUCTOS,SUBPRODUCTOS,Asset,,,Yes,,36,,,,,,,,,,
365,RESIDUOS A,RESIDUOS A,Asset,,,Yes,,36,,,,,,,,,,
366,RESIDUOS B,RESIDUOS B,Asset,,,Yes,,36,,,,,,,,,,
368,MATERIALES RECUPERADOS,MATERIALES RECUPERADOS,Asset,,,Yes,,36,,,,,,,,,,
369,MATERIALES RECUPERADOS,MATERIALES RECUPERADOS,Asset,,,Yes,,36,,,,,,,,,,
390,DETERIORO VALOR MERCADERIAS,DETERIORO VALOR MERCADERIAS,Asset,,,Yes,,39,,,,,,,,,,
391,DETERIORO VALOR MAT.PRIMAS,DETERIORO VALOR MAT.PRIMAS,Asset,,,Yes,,39,,,,,,,,,,
392,DETERIORO VALOR OTROS APROV.,DETERIORO VALOR OTROS APROV.,Asset,,,Yes,,39,,,,,,,,,,
393,DETERIORO VALOR PROD.EN CURSO,DETERIORO VALOR PROD.EN CURSO,Asset,,,Yes,,39,,,,,,,,,,
394,DET.VALOR PROD.SEMITERMINADOS,DET.VALOR PROD.SEMITERMINADOS,Asset,,,Yes,,39,,,,,,,,,,
395,DET.VALOR DE PROD.TERMINADOS,DET.VALOR DE PROD.TERMINADOS,Asset,,,Yes,,39,,,,,,,,,,
396,DET.VALOR SUBP/RESID/MAT.REC,DET.VALOR SUBP/RESID/MAT.REC,Asset,,,Yes,,39,,,,,,,,,,
400,PROVEEDORES,PROVEEDORES,Liability,,,Yes,,40,,,,,,,,,,
401,PROV.EFECTOS COM.A PAGAR,PROV.EFECTOS COM.A PAGAR,Liability,,,Yes,,40,,,,,,,,,,
403,PROVEEDORES.EMPRESAS GRUPO,PROVEEDORES.EMPRESAS GRUPO,Liability,,,Yes,,40,,,,,,,,,,
404,PROVEEDORES EMPRESAS ASOC.,PROVEEDORES EMPRESAS ASOC.,Liability,,,Yes,,40,,,,,,,,,,
405,PROV.OTRAS PARTES VINCULADAS,PROV.OTRAS PARTES VINCULADAS,Liability,,,Yes,,40,,,,,,,,,,
406,ENV/EMB.DEVOLVER PROVEEDORES,ENV/EMB.DEVOLVER PROVEEDORES,Liability,,,Yes,,40,,,,,,,,,,
407,ANTICIPOS A PROVEEDORES,ANTICIPOS A PROVEEDORES,Asset,,,Yes,,40,,,,,,,,,,
410,ACREEDORES PREST.DE SERVICIOS,ACREEDORES PREST.DE SERVICIOS,Liability,,,Yes,,41,,,,,,,,,,
